timestamp,contract_id,price,size,side,ticketId,exchange_timestamp
1757800369.2712595,10000227,3634.46,0.024,buy,a897a0ab-3200-4004-bd4e-60e5c6a6e52c,1757800364677
1757800369.2712595,10000227,3634.44,0.02,sell,9ae1a185-12ce-4b14-8ff0-85e2daaa2357,1757800351714
1757800369.2712595,10000227,3634.33,0.021,buy,b1a49875-b669-467c-a3a5-42d8f1b2ba60,1757800340724
1757800369.2712595,10000227,3634.39,0.022,buy,35c1a469-c0a1-4616-8f78-5ad8e2419074,1757800325674
1757800369.2712595,10000227,3634.35,0.024,buy,514b6090-b1f4-4e43-9b9c-6a0d0bb6fe0f,1757800315671
1757800369.2712595,10000227,3634.35,0.033,sell,0225956d-4538-45bd-b7c7-11aa4cf8a294,1757800302709
1757800369.2712595,10000227,3634.35,0.03,buy,d6168a50-e498-48dc-8384-0876e18cbfef,1757800292686
1757800369.2712595,10000227,3634.33,0.035,sell,aeb37b6a-747c-4fd2-be97-e20404acaee8,1757800286681
1757800369.2712595,10000227,3634.39,0.021,sell,bfc79645-85f9-4a26-a892-5a53d5d2adb6,1757800270668
1757800369.2712595,10000227,3634.34,0.035,buy,50808a8c-ad1f-45ca-a96b-4ea3bcf58707,1757800264675
1757800369.2712595,10000227,3634.43,0.03,sell,b757a7e1-5c1b-435e-a0ea-e491899a55be,1757800249716
1757800369.2712595,10000227,3634.25,0.023,sell,d119a314-3f4b-4c46-bcda-cbdf10660105,1757800234738
1757800369.2712595,10000227,3634.21,0.031,sell,43146f1c-6d9c-4da9-891e-b332b3814f75,1757800220678
1757800369.2712595,10000227,3634.24,0.024,sell,ca4192c9-40b1-4fcf-bf89-c5d9965f3ee5,1757800210667
1757800369.2712595,10000227,3634.3,0.033,sell,d030fa03-5dbf-487f-a076-77208ea23863,1757800204668
1757800369.2712595,10000227,3634.6,0.032,buy,1fae6cdb-b9d5-43d1-b28c-6dd5513f4612,1757800188677
1757800369.2712595,10000227,3634.58,0.034,sell,93740f89-31c0-4201-96a5-9d7e42036fee,1757800172678
1757800369.2712595,10000227,3634.58,0.024,sell,2a7883ce-b29c-4049-b58f-1ef0c4939a14,1757800166662
1757800369.2712595,10000227,3634.6,0.026,buy,0463b025-05b1-437c-9c02-85997404b0a4,1757800153692
1757800369.2712595,10000227,3634.67,0.023,sell,12e3e9ef-8a21-4b8a-aad6-94571fbf6667,1757800141671
1757800369.2712595,10000227,3634.56,0.033,sell,8d5c9214-a0e3-44a3-a377-8f4c71979c13,1757800130663
1757800369.2712595,10000227,3634.62,0.035,sell,4a522ab8-fea9-4a20-bd49-632e85b6a76f,1757800123687
1757800369.2712595,10000227,3634.63,0.012,buy,5d07faf2-dc6c-4ea4-a26d-215b6ca72080,1757800108714
1757800369.2712595,10000227,3634.63,0.013,sell,2aa5b359-c810-4bb6-8893-1ab61acaac87,1757800095747
1757800369.2712595,10000227,3634.6,0.018,sell,b7ea6a0c-9b2a-482b-a703-42bdc91a925f,1757800085768
1757800369.2712595,10000227,3634.65,0.012,sell,f7ffd32b-a202-4889-9102-633d3556f700,1757800070664
1757800369.2712595,10000227,3634.56,0.014,sell,ac5b1819-037a-4341-a4fd-0c0a2fb3a389,1757800054714
1757800369.2712595,10000227,3634.62,0.016,sell,0af8f2e4-bab7-4603-b930-067bc4e06a1e,1757800042702
1757800369.2712595,10000227,3634.63,0.02,sell,65c519d8-27ef-4484-bb35-5fd1b196fc2a,1757800036669
1757800369.2712595,10000227,3634.6,0.014,buy,27d0f1cb-61a6-4282-84dc-d7ef1207dbea,1757800030667
1757800379.9194245,10000227,3634.64,0.025,sell,453b16b7-7a02-4523-8052-c075b6a9a9d8,1757800379798
1757800389.836166,10000227,3634.58,0.025,buy,648b02db-fc94-488c-a7d0-fdc814953519,1757800389714
1757800396.8003502,10000227,3634.64,0.015,buy,595646bf-f153-46f4-aaca-fa2bd1ed46b7,1757800396677
1757800412.7978466,10000227,3634.58,0.024,buy,a5ca4bb9-1862-45d2-a402-c429fdeb1867,1757800412676
1757800421.7844758,10000227,3634.65,0.015,buy,690fe2da-4a1b-4a8b-954f-580546a50034,1757800421664
1757800436.8064728,10000227,3634.65,0.024,sell,f1c33912-935f-4c05-9bc3-a17a5401a4c0,1757800436684
1757800447.78978,10000227,3634.64,0.025,sell,97135918-9e7d-47f4-8082-f28b2f5fc4e9,1757800447664
1757800454.800768,10000227,3634.66,0.024,buy,be1c9429-5a1a-4633-bb7e-59dca2268ab4,1757800454673
1757800467.7944617,10000227,3634.6,0.015,buy,108f1009-901f-4c56-aff2-6fa0ff17bdd8,1757800467667
1757800475.7922804,10000227,3634.65,0.021,buy,189d64c2-6c3c-4c3c-84d5-b1f320e8315e,1757800475668
1757800482.798614,10000227,3634.34,0.021,sell,8007e36e-b7dd-4d9a-be2f-d12670c4870e,1757800482677
1757800494.7932744,10000227,3634.33,0.018,sell,d899854e-b883-4a8e-a18a-b31032c28223,1757800494670
1757800503.7951274,10000227,3634.32,0.025,buy,8ba19e47-1ec1-4396-b038-be5e95d252ff,1757800503673
1757800517.804583,10000227,3634.27,0.018,buy,3c6a0837-109e-4da3-a3f3-b9d4aff9742c,1757800517673
1757800639.3976073,10000227,3634.35,0.019,sell,4112c24f-5c65-43a0-9f02-1e30a326bdc1,1757800629662
1757800639.3976178,10000227,3634.28,0.021,buy,afad28e2-a610-4240-a564-0eef208ec75c,1757800620665
1757800639.3976238,10000227,3634.26,0.03,sell,a2839144-39f8-48ce-851b-ea9b069e2364,1757800613674
1757800639.3976278,10000227,3634.31,0.021,buy,1e1d461a-ae2a-4455-80c8-fa87ead91fb2,1757800600663
1757800639.397632,10000227,3634.34,0.029,buy,44879570-2ffc-4c9f-b40f-beb67299ef18,1757800590663
1757800639.3976357,10000227,3634.32,0.021,sell,4c94e0e6-5d76-4284-8107-39f8d1a89ec4,1757800578671
1757800639.39764,10000227,3634.36,0.022,buy,3128c332-4d74-40f2-8f99-19b0e93e802b,1757800562730
1757800639.3976443,10000227,3634.32,0.027,buy,315f0414-8d9f-493e-8f90-71be5e27b630,1757800550689
1757800639.3976486,10000227,3634.35,0.03,buy,2f2e55ca-e296-4d0b-a19e-093763eaf5c2,1757800536721
1757800639.3976526,10000227,3634.27,0.019,buy,85073ebe-4275-46aa-8c79-999fda2747b9,1757800529671
1757800639.3976567,10000227,3634.27,0.018,buy,3c6a0837-109e-4da3-a3f3-b9d4aff9742c,1757800517673
1757800639.3976605,10000227,3634.32,0.025,buy,8ba19e47-1ec1-4396-b038-be5e95d252ff,1757800503673
1757800639.3976643,10000227,3634.33,0.018,sell,d899854e-b883-4a8e-a18a-b31032c28223,1757800494670
1757800639.3976684,10000227,3634.34,0.021,sell,8007e36e-b7dd-4d9a-be2f-d12670c4870e,1757800482677
1757800639.397672,10000227,3634.65,0.021,buy,189d64c2-6c3c-4c3c-84d5-b1f320e8315e,1757800475668
1757800639.3976758,10000227,3634.6,0.015,buy,108f1009-901f-4c56-aff2-6fa0ff17bdd8,1757800467667
1757800639.3976796,10000227,3634.66,0.024,buy,be1c9429-5a1a-4633-bb7e-59dca2268ab4,1757800454673
1757800639.3976834,10000227,3634.64,0.025,sell,97135918-9e7d-47f4-8082-f28b2f5fc4e9,1757800447664
1757800639.3976872,10000227,3634.65,0.024,sell,f1c33912-935f-4c05-9bc3-a17a5401a4c0,1757800436684
1757800639.3976912,10000227,3634.65,0.015,buy,690fe2da-4a1b-4a8b-954f-580546a50034,1757800421664
1757800639.397695,10000227,3634.58,0.024,buy,a5ca4bb9-1862-45d2-a402-c429fdeb1867,1757800412676
1757800639.3976989,10000227,3634.64,0.015,buy,595646bf-f153-46f4-aaca-fa2bd1ed46b7,1757800396677
1757800639.3977027,10000227,3634.58,0.025,buy,648b02db-fc94-488c-a7d0-fdc814953519,1757800389714
1757800639.3977065,10000227,3634.64,0.025,sell,453b16b7-7a02-4523-8052-c075b6a9a9d8,1757800379798
1757800639.3977103,10000227,3634.46,0.024,buy,a897a0ab-3200-4004-bd4e-60e5c6a6e52c,1757800364677
1757800639.397714,10000227,3634.44,0.02,sell,9ae1a185-12ce-4b14-8ff0-85e2daaa2357,1757800351714
1757800639.3977177,10000227,3634.33,0.021,buy,b1a49875-b669-467c-a3a5-42d8f1b2ba60,1757800340724
1757800639.3977242,10000227,3634.39,0.022,buy,35c1a469-c0a1-4616-8f78-5ad8e2419074,1757800325674
1757800639.3977282,10000227,3634.35,0.024,buy,514b6090-b1f4-4e43-9b9c-6a0d0bb6fe0f,1757800315671
1757800639.3977323,10000227,3634.35,0.033,sell,0225956d-4538-45bd-b7c7-11aa4cf8a294,1757800302709
1757800641.8050928,10000227,3634.27,0.018,sell,093d01e2-5273-4c82-8582-453a328fa165,1757800641689
1757800648.8630855,10000227,3634.34,0.026,buy,3ba78dac-f5e1-4232-9383-1d801867af4b,1757800648742
1757800664.7851539,10000227,3634.32,0.024,sell,f68b0d3b-96f1-4517-a92e-5a55d034d34c,1757800664664
1757800675.7920206,10000227,3634.34,0.018,buy,656e4c10-6784-4d9e-b8da-23d00fd3a222,1757800675669
1757800690.7915335,10000227,3634.31,0.03,buy,f5b19b7d-a361-4372-9a13-a41dd2cc2ef9,1757800690660
1757800702.7905953,10000227,3634.32,0.019,sell,722f689d-f6b6-42ba-81cf-f74166b029aa,1757800702671
1757800713.7910194,10000227,3634.29,0.025,buy,4edd7c3b-d493-4c88-8222-8a98b5c34329,1757800713667
